"current_seed","Nsamp","nullpi","poisthin","pi0hat_ols","pi0hat_biash_ols","pi0hat_biash_voom","pi0hat_ols_ash","pi0hat_succotash","pi0hat_cate_rr","pi0hat_sva_ols","pi0hat_ruvash","pi0hat_cate_nc","pi0hat_ruv2","pi0hat_ruv4"
75,20,0.5,TRUE,0.474402765684496,0.532122967206317,0.514756859236015,0.216239769593629,0.544380421465155,0.32075355214025,0.291502653868289,0.571043249407028,0.372338684051132,0.633827481957444,0.388325855704944
76,20,0.5,TRUE,0.660661449136606,0.473319321225652,0.470548047528637,0.487303875516915,0.491446343059243,0.363663302083512,0.519705918223931,0.505939925727058,0.427252268954777,0.38501453517763,0.468079151388185
77,20,0.5,TRUE,0.928750839382701,0.521751012343217,0.490076051580916,0.556788621470399,0.501260344464023,0.385513695326344,0.390023004810558,0.516707685306558,0.401903312482322,0.379027220779041,0.501374948979715
78,20,0.5,TRUE,0.810867343776985,0.51380860897716,0.504119988719359,0.580210795940652,0.497835307932321,0.564474891774752,0.618489645661226,0.513866029580671,0.479489681981102,0.550805895555907,0.620454505728763
79,20,0.5,TRUE,0.662116813410708,0.580748053743399,0.548343324572233,0.61069743971123,0.525992047837873,0.473985578291648,0.679744122432044,0.536551103190066,0.484607455634168,0.609133381109965,0.670344110670145
80,20,0.5,TRUE,0.931702045494613,0.542893344708176,0.518983163609733,0.593639792603536,0.516906244403962,0.506325398294201,0.592903076012923,0.516987876199532,0.603253240881217,0.679517124407495,0.674978518732979
81,20,0.5,TRUE,0.432130105224545,0.515913876094188,0.541059426068906,0.40835804053842,0.487600992575142,0.542952330898724,0.533766777655725,0.530206060177672,0.646358579757725,0.800917617568876,0.715894083616501
82,20,0.5,TRUE,0.279341988352567,0.5758148643093,0.547818877630133,0.0861443954931697,0.50873299427757,0.589687394783694,0.518586382063728,0.53504598990644,0.576820448850565,0.51839712673616,0.617354200231624
83,20,0.5,TRUE,0.293349021606329,0.526107268285342,0.537373479457135,0.0615658473070186,0.527076487687962,0.547943095640217,0.35403998864508,0.547095980633689,0.635929403342303,0.636831312943528,0.544488003388991
84,20,0.5,TRUE,0.344326078691718,0.504979981371863,0.526859462482663,0.167479488121267,0.495104120130579,0.61209469038489,0.761438244640572,0.514225434757742,0.812178820835675,0.735413111642881,0.80759030139178
85,20,0.5,TRUE,0.642254059966642,0.515256542937575,0.506312138295774,0.562425133407303,0.498160190689139,0.37328550460866,0.397263504155148,0.513602028029166,0.556422177289648,0.386258140568381,0.371190459865947
86,20,0.5,TRUE,0.393571884276127,0.5392139275412,0.52919000028698,0.472164553917888,0.543354950033578,0.436812126707352,0.343951199091239,0.564151905704278,0.507775051451253,0.644665162083457,0.479377942116459
87,20,0.5,TRUE,0.737308831807203,0.531190655489947,0.499555772721232,0.578976860443717,0.494371971356301,0.357366570637425,0.439785611648728,0.523483783157722,0.584993561541354,0.442517983989378,0.572625271463227
88,20,0.5,TRUE,0.300482866543858,0.463351541661185,0.476418874817995,0.0736878270670007,0.487619053470699,0.440570127315469,0.298969415568453,0.51397148892508,0.530797554074511,0.521213340113064,0.523722339499256
89,20,0.5,TRUE,0.333458735975402,0.506197031786064,0.460989746497907,0.0762342419833924,0.480266752716597,0.445834264647843,0.293022210812378,0.497487570279847,0.438659729475286,0.643568866179539,0.518356640706453
90,20,0.5,TRUE,0.658895202919033,0.564632156399454,0.540569677141601,0.593895550777479,0.518525022886874,0.463536871676332,0.414410319200713,0.54988148385366,0.560168160036236,0.606734155800045,0.541968439644485
91,20,0.5,TRUE,0.907808606930695,0.551057208734089,0.532219134222941,0.598206247285238,0.516068563332383,0.593014612980638,0.584399532105057,0.528661309274808,0.693764084696615,0.601334811707169,0.57441733991602
92,20,0.5,TRUE,0.800802791810292,0.551081993785874,0.526772548292856,0.607796645530139,0.499731970807183,0.471826796021536,0.501172691772098,0.525324776188871,0.445911347254881,0.568061997879789,0.483751142166762
93,20,0.5,TRUE,0.212318314034363,0.524062118525756,0.516158035352766,0.0947497947795689,0.496913475854085,0.503256060168967,0.450778707414691,0.540343034602198,0.555264687423571,0.50580677597583,0.521562114825706
94,20,0.5,TRUE,0.417130605347187,0.520692186928092,0.504880490279943,0.218977147605542,0.494493855764908,0.501097463715988,0.471631401101203,0.535801948267637,0.56050478060881,0.55801053035556,0.456787488570019
95,20,0.5,TRUE,0.620090402260462,0.527630643909593,0.51323946221945,0.558578161000664,0.518891669488837,0.482158323619717,0.566062683408466,0.544715326676921,0.544679773746471,0.579273587552044,0.558283990296399
96,20,0.5,TRUE,0.728585156982112,0.51217597363965,0.516077330074097,0.540173075493913,0.504553219581888,0.552051032521296,0.628606337330701,0.543338969613892,0.568113035888889,0.551275345650872,0.514042575989462
97,20,0.5,TRUE,0.496033490953606,0.505049225746947,0.523127689145101,0.289715553485313,0.519498508631495,0.417037083045157,0.444905155230548,0.533356561994857,0.386803622504931,0.409625938102484,0.35466488107281
98,20,0.5,TRUE,0.778609088797765,0.574880923478105,0.542095713720035,0.627636830014339,0.540788779258472,0.543743276593108,0.612989054282869,0.545186597938966,0.623475526694204,0.658089536628134,0.68225852813856
99,20,0.5,TRUE,0.523841103586716,0.466760748051684,0.477013374231663,0.478157551462501,0.509581936420106,0.468941924663054,0.626869668868361,0.545402178592805,0.571079390727372,0.558830093813038,0.621483017506623
100,20,0.5,TRUE,0.576133879272163,0.53017175517507,0.51236496726516,0.57740066725617,0.498726095157014,0.580595051452638,0.647784255399162,0.518450370300088,0.442779797361273,0.464302444813787,0.435729051917902
1,5,0.9,TRUE,0.830830642423001,0.910973818002717,0.860269487794739,0.688507862435922,0.783425500248449,0.976985564095407,1,0.944595454641162,0.888093283511374,1,1
2,5,0.9,TRUE,0.621298312628236,0.92084052446772,0.926210302649981,0.605912507320247,0.942941988587398,0.813264129602076,1,0.953466058737749,0.861521972819946,1,1
3,5,0.9,TRUE,1,0.934554077819314,0.866674431941735,0.925158369393694,0.318718937860752,0.512272255239947,0.797713141781031,0.889780187844995,0.585212135590407,0.748468718830491,0.674625443082949
4,5,0.9,TRUE,0.848535301267124,0.898836091073744,0.919304836470105,0.651851300245575,0.780252918862628,0.848084565888668,1,0.931936705840312,0.874004667187751,1,1
5,5,0.9,TRUE,0.629293111847406,0.89853036165014,0.882554711637084,0.359552756263373,0.729144240648563,0.534273455698007,0.920317555467879,0.980037870301099,0.52533519714743,0.93846363939771,0.729363749836661
6,5,0.9,TRUE,1,0.974245329732483,0.940390570733381,0.984474087722548,0.507928850118793,0.684484065834435,0.959031154285434,0.932444868332725,0.778419407771978,0.954206544621315,0.911265800026252
7,5,0.9,TRUE,0.931111082296561,0.931122562168693,0.923508320044246,0.504341416972342,0.647341505072733,0.503849538429729,0.906261806009174,0.921411608444781,0.675246734093363,0.941117310635334,0.664513935650892
8,5,0.9,TRUE,1,0.944245035973412,0.919749255009026,0.960899661001584,0.305455524322914,0.582852503022152,0.82814997215936,0.932484278867291,0.601206659735425,0.731580224128164,0.713180323632316
9,5,0.9,TRUE,1,0.925099019210902,0.945075677292403,0.872358436497405,0.723919369123791,0.794377222469407,0.901390230796088,0.956754324049667,0.730125065062091,0.913187583792977,0.875065441619651
10,5,0.9,TRUE,1,0.964981709363788,0.928602870999238,0.971876302863907,0.791367286683131,0.753373552626319,0.955089907741408,0.921338224894636,0.722823644489091,1,0.963792929292019
11,5,0.9,TRUE,1,0.937411642439414,0.903314958776796,0.956863826178373,0.734904018034473,0.707898388414219,0.998583003131397,0.911856561748191,0.862678213762537,1,0.906838740993744
12,5,0.9,TRUE,0.895429609226063,0.94556957622956,0.944302464475645,0.956081654487997,0.940023199039231,0.660161186039312,0.942953363409256,0.958021793326114,0.672747378196209,0.967367832876066,0.856548015501463
13,5,0.9,TRUE,1,0.936420487401553,0.925614869102384,0.938336796595275,0.569145064084387,0.54166921331557,0.854702694140642,0.905400810950702,0.516509270884107,0.76070911603982,0.869668616431888
14,5,0.9,TRUE,0.819599419414343,0.93471652243417,0.91900278457544,0.216139279925742,0.622502265206398,0.76126563050058,1,0.928230397157692,0.722335809838279,1,1
15,5,0.9,TRUE,0.924231228294967,0.915033066616977,0.899045275031598,0.927138920350897,0.627894477320958,0.490717338549326,0.771212335824771,0.969339080080251,0.451824277562133,0.820416347313405,0.688454481806116
16,5,0.9,TRUE,0.728656360166949,0.899570431755876,0.855542693365751,0.603056209550357,0.574297296017424,0.657417046525425,0.995167101445135,0.922236145949788,0.67350047828925,0.899964315815274,0.703248262677476
17,5,0.9,TRUE,0.655039794818894,0.845117002745845,0.870578423634477,0.27180196292607,0.767747617090261,0.460685741045765,0.591942882889693,0.956053962934384,0.356181154000233,0.946747695734968,0.604794148972763
18,5,0.9,TRUE,0.40829316113689,0.946358941212016,0.90740339021827,0.12099510827193,0.741388175968664,0.662645923671393,0.825498881315901,0.933746733922173,0.745540859514995,0.649387095504179,0.924329977183445
19,5,0.9,TRUE,0.554703724846137,0.967813236764597,0.970101081944028,0.196886073710782,0.785364353931667,0.536511652890997,0.528058067187822,0.962437418185468,0.592922869806288,1,0.499861053420845
20,5,0.9,TRUE,1,0.942432496613284,0.938800523543323,0.950861915150289,0.789381990739681,0.590373229588123,0.800622117746996,0.917901186246765,0.558635519192819,0.799729210461228,0.794431928594761
21,5,0.9,TRUE,1,0.959399850527389,0.917296373567126,0.968778298987146,0.792450478787312,0.661807596996368,0.997620276525788,0.953447669001828,0.745550188094645,0.985050057849296,1
22,5,0.9,TRUE,0.78414376714659,0.879093476344674,0.87430384504886,0.635653608852948,0.470052841641056,0.640916972020864,0.838768431491396,0.935815118197145,0.692430134381464,0.939455123440842,0.766969114312802
23,5,0.9,TRUE,0.613647583684224,0.933416345793274,0.931401317947337,0.327975193164792,0.306504970971467,0.834688300648181,0.97117646185912,0.892290531385618,0.874998253472238,1,1
24,5,0.9,TRUE,0.529425030785176,0.814118737636788,0.851803232462621,0.228444819830112,0.804467178047357,0.788384365984158,1,0.960652303518158,0.664374964480149,1,1
25,5,0.9,TRUE,0.809633830792734,0.913918746820483,0.917669780736237,0.751189101442001,0.79638831123005,0.74667182880245,0.829720433102444,0.948866192677804,0.661767895743658,0.971783657616571,1
26,5,0.9,TRUE,0.878831516517725,0.873933487165313,0.914002816628095,0.773321145746894,0.807653423429294,0.475654592509199,0.749761863702535,0.974757227708107,0.56262586762064,0.786761642672329,0.678679555029004
27,5,0.9,TRUE,0.772376209787194,0.912784261294693,0.915852426496506,0.52876156984594,0.790941395963793,0.898694516357333,1,0.940516796047866,0.997040967941844,1,1
28,5,0.9,TRUE,0.976363832744564,0.905567573444921,0.900915663155624,0.930406272755872,0.474338631521885,0.535516683486333,0.673783578384896,0.917920676453343,0.456012847610973,0.678886316676781,0.704505237804232
29,5,0.9,TRUE,0.460221464994138,0.867402550450673,0.912285192912861,0.176860934374082,0.935545658841228,0.549661602729749,0.527512770282272,0.948275067012464,0.458938959115214,0.700653631354422,0.585438308807731
30,5,0.9,TRUE,1,0.937997035150786,0.940919171925028,0.951243857137524,0.906025213520357,0.810974027411211,1,0.934825147448399,0.795772390782703,1,0.961609548541286
31,5,0.9,TRUE,0.921213912725422,0.881180103002708,0.885823291958164,0.794865470251298,0.725403810131728,0.739619786963786,0.796132654165502,0.931331858233476,0.587120458494191,1,0.789453264651718
32,5,0.9,TRUE,1,0.96734120119683,0.944940368415545,0.973235922595923,0.916293541905705,0.799315516212631,0.912227852843073,0.934545243145641,0.87368430083969,0.902194245402819,0.878061342908377
33,5,0.9,TRUE,1,0.927662720797309,0.949229667611982,0.515162089766615,0.960662471019737,0.44984678013602,0.589680027081009,0.961085195407582,0.470868948961296,0.546431002731045,0.552636248524588
34,5,0.9,TRUE,0.722127448357404,0.917129265370957,0.946016091767757,0.572076107652448,0.797465147971217,0.517257943541704,0.823010002087832,0.966523654691508,0.488280562105094,0.893859934490162,0.652065754776453
35,5,0.9,TRUE,0.896638294566341,0.919571279127317,0.92359508292045,0.779100065478336,0.682745820475302,0.700025646656578,1,0.960635463207923,0.819314349626746,1,1
36,5,0.9,TRUE,0.860375806120252,0.872469682041808,0.89049312465933,0.546525529854786,0.58396921320969,0.511649659822289,0.635529669558046,0.945081568836518,0.471954477051646,0.601942137910837,0.657706964615443
37,5,0.9,TRUE,1,0.925584488459487,0.930849143015146,0.946835327409663,0.931351938801332,0.695006009294427,1,0.959923406369314,0.815864268475537,1,0.963123806894696
38,5,0.9,TRUE,0.531676733952507,0.9587007864658,0.930003360037081,0.256811160635228,0.895296248369146,0.583504590313298,0.858965717672839,0.945710992410212,0.678579881685966,0.856769433761447,0.783188612029444
39,5,0.9,TRUE,0.893708125206359,0.850120280299203,0.871580573911959,0.547952846829644,0.792020603995169,0.657748581572895,0.707171946568038,0.961425647123158,0.780840494569762,0.644890039110959,0.823728839908416
40,5,0.9,TRUE,0.60466655157651,0.942542280196296,0.910061477575274,0.231386768204944,0.769021378322973,0.425445904884007,0.61201252199792,0.958559627950765,0.475820151676662,0.729141406815563,0.649664026695139
41,5,0.9,TRUE,1,0.938598144161573,0.88670603237587,0.959229333835637,0.764887901830445,0.687287627863988,0.849955235866845,0.964115138041941,0.784452650539701,0.825332141620681,0.889606636870858
42,5,0.9,TRUE,0.328627096306151,0.944304250118759,0.919995745289592,0.0635129347117043,0.908901937756453,0.5298343663215,0.619808686636157,0.953451123862965,0.782356014333682,0.799213612632765,0.669991947137013
43,5,0.9,TRUE,1,0.919034540054443,0.923396583418976,0.582402243236938,0.363943957744803,0.55385612012527,0.753611020882621,0.920842937623708,0.70878431565732,0.879844418834982,0.791654604662194
