"current_seed","Nsamp","nullpi","poisthin","mse_ols","mse_biash_ols","mse_biash_voom","mse_ols_ash","mse_succotash","mse_cate_rr","mse_sva_ols","mse_ruvash","mse_cate_nc","mse_ruv2","mse_ruv4"
40,20,0.9,TRUE,0.164081464454211,0.0479639324173037,0.0404803367714749,0.0812839412042641,0.0267777890405256,0.0581746914563087,0.0777599256722575,0.0258254990756242,0.0629698615773561,0.0572976642916089,0.0583113001925469
41,20,0.9,TRUE,0.0565503537139749,0.0261038353786728,0.0223264453875013,0.0281625568457872,0.0163614881383515,0.0366282234658017,0.0356342728623176,0.0164544207016738,0.0362581305170682,0.0392227116649656,0.0375487664537854
42,20,0.9,TRUE,0.0827516346350295,0.0254521925816093,0.0195051518900752,0.0278747248246828,0.0154383664314399,0.0384622125029578,0.0389800033010257,0.0154446028385365,0.0393118454493351,0.0380959848007742,0.0381195954349026
43,20,0.9,TRUE,0.155618240553057,0.0442707177496788,0.0335984034765804,0.0553941938989916,0.0116363876877481,0.0319059542386438,0.0375259887237223,0.0117413818094144,0.032480955786678,0.0344775612429697,0.0339337149307261
44,20,0.9,TRUE,0.0994110902958304,0.0233652012202842,0.0179718720309218,0.0239669068289106,0.00968761567396442,0.032984024733856,0.0312346516255824,0.00894893975513827,0.0337734277619517,0.0322444023554359,0.034115691648577
45,20,0.9,TRUE,0.0798875409272113,0.0241505714318052,0.0140157572485536,0.0268179931959818,0.0102790779113031,0.0279872053643609,0.0282231792148005,0.0100105212906503,0.0288380021695869,0.0290404375476774,0.0300288234856087
46,20,0.9,TRUE,0.0419692809801931,0.0182376428301128,0.0182171140941747,0.0216398768967368,0.0112960475733508,0.0286229627754966,0.0284008263748486,0.0108660753324665,0.0304054550627072,0.0328333315387064,0.0309389781795292
47,20,0.9,TRUE,0.0934661614296617,0.0273729942770356,0.0348646137217957,0.028983694024025,0.00717432655316359,0.0312915467517728,0.0305723387012319,0.00720365377191359,0.0318636476588875,0.033560516787139,0.0330158603937213
48,20,0.9,TRUE,0.0607364522532987,0.0264751086720856,0.0248526819816281,0.0298544937539668,0.0199646039670462,0.0331994385312774,0.0325283461945137,0.0192838893189712,0.0340895954532126,0.0340843705956645,0.0337874861706106
49,20,0.9,TRUE,0.0871444865965696,0.027463076549872,0.00997946722205934,0.0407223208394143,0.00482626858938402,0.0162981727070418,0.0152050558423132,0.00494188775672732,0.0163172489886299,0.0166736685881,0.0168395222353407
50,20,0.9,TRUE,0.0700443168372737,0.0252847046407693,0.0401302680448385,0.0269417064840772,0.0119148587018109,0.0323328530871343,0.0322608497465657,0.013216858668022,0.0345384070862417,0.0341814970881812,0.0359032365983724
51,20,0.9,TRUE,0.0479146974852524,0.0259207780518961,0.0278474302064419,0.0308435083343505,0.0107353946718266,0.021051458072123,0.0205672926990822,0.0119573838602221,0.0231027980060088,0.0228152184234475,0.0213796708991714
52,20,0.9,TRUE,0.122246166947667,0.0508589066622293,0.0199789966332764,0.0584011933210436,0.00891978669057951,0.0318305881768289,0.0326245449679229,0.00914811223621931,0.0349137399949952,0.028176976903055,0.0320551293762704
53,20,0.9,TRUE,0.0446300567091316,0.0157743086850263,0.0211581315197413,0.019333970913797,0.00373253451338128,0.0167875405675758,0.017454409247522,0.00410499698364798,0.0174676150940918,0.0178063303142995,0.0171693617244765
54,20,0.9,TRUE,0.0535242428180809,0.0162187566497141,0.0220617423711624,0.0194621608636627,0.01797327188523,0.0406411636054569,0.0400629571641766,0.0181889807919047,0.0473752700870756,0.0404972085592319,0.0419293083305304
55,20,0.9,TRUE,0.0395503076829088,0.0178838541721911,0.0226393350082776,0.0208263582038979,0.012228270144223,0.0211440329499091,0.0203330416495496,0.0127971020794493,0.0212610432972363,0.0205417623087779,0.021533003219981
56,20,0.9,TRUE,0.0481174369005656,0.0105349347486878,0.0166353126102279,0.0115785228121529,0.00712016611125746,0.0249379113573979,0.0238231818907984,0.00711912048638924,0.0277541843207665,0.025309426680594,0.0260978303115651
57,20,0.9,TRUE,0.110633026282092,0.0269717772788176,0.0134600313526588,0.0534933571795006,0.00596928250004116,0.024135353196641,0.0587507240396916,0.00617265791521765,0.0248660720047642,0.0235368873345689,0.024370234270936
58,20,0.9,TRUE,0.0865551940887006,0.0217580527812465,0.0261466816896747,0.0221030718438835,0.00633170295807735,0.0250070662923021,0.024068395295282,0.00635901910238621,0.0251527017257836,0.0260702194303977,0.0261369432262442
59,20,0.9,TRUE,0.137356120861887,0.0407773194472683,0.0145588723036847,0.0526709006440066,0.010584109242136,0.0259612013414176,0.0287041997099047,0.00974562215273588,0.0281141820142013,0.0325482791716224,0.0287335835669703
60,20,0.9,TRUE,0.0309790180720183,0.0134761940012298,0.0209508881496837,0.015387688001928,0.00854784632024365,0.0228544462773656,0.0219799777645462,0.0083387647330847,0.0237477224090743,0.0243970007874345,0.023988251421658
61,20,0.9,TRUE,0.0947379874196989,0.0197068742286104,0.0433498122826024,0.0184705616853143,0.0100023995730616,0.0330119298807123,0.030150750662769,0.00991968694835327,0.034301829085525,0.0361924538931327,0.0351736857218765
62,20,0.9,TRUE,0.0970108622669206,0.0325533664264249,0.0349022011805377,0.035033108109654,0.00959083184143687,0.0234470614284499,0.0235096553709755,0.00994246649983278,0.0245752583841714,0.0234674052476494,0.0239028804814687
63,20,0.9,TRUE,0.0912333442485443,0.0233323304601138,0.0233678392561241,0.0244327132384641,0.0132610203138283,0.0365852993706888,0.0359943933717643,0.01398061016915,0.0396418824517272,0.0417434303080578,0.0383689830446781
64,20,0.9,TRUE,0.0683763156717218,0.0239784144035407,0.0125317592453674,0.024856171123981,0.00881922432943552,0.0358427711867567,0.0352464749484944,0.00862138231946351,0.0356768667551794,0.0369073741447523,0.0372338363160079
65,20,0.9,TRUE,0.0875266439217094,0.0271820406184982,0.0231067970934477,0.0307709892226093,0.0122560138919429,0.032190262934678,0.0315289995278756,0.0123171277116067,0.0336634379967054,0.0261830820041714,0.0328523359552436
66,20,0.9,TRUE,0.083608311826884,0.028541320641171,0.0291773788259661,0.0298658759179279,0.0120693041004424,0.0401545928774748,0.0417101959941304,0.0121256931692148,0.041259619757401,0.0415566312648042,0.0415970693221309
67,20,0.9,TRUE,0.103763769704368,0.0215464502890607,0.0309737216979739,0.0224896475381427,0.00851938004952885,0.0279567947546788,0.0278547394720741,0.00842708023914593,0.028789152731637,0.0280071704366489,0.0284668736867986
68,20,0.9,TRUE,0.0460019778625054,0.0125878611365858,0.0149291887900464,0.0148579298593465,0.00951767265248247,0.0319674750629236,0.0309627796059107,0.00915721365038429,0.0318839587688294,0.0341406699011803,0.0337041175844152
69,20,0.9,TRUE,0.0367144944543627,0.0209056832750225,0.0246686656051659,0.0256560134335414,0.0113809979338275,0.0215745315183817,0.0223027778374495,0.0126496001323641,0.0226614977202106,0.0223974811820173,0.0221686480258294
70,20,0.9,TRUE,0.0644614052442711,0.0264794139964316,0.0260374734700608,0.0315826770878364,0.00905391968442243,0.0320191222679774,0.031488279196242,0.00991202398202757,0.0331024287450387,0.033908183107498,0.0331252796823032
71,20,0.9,TRUE,0.106184065073755,0.0373033181621498,0.0192721322412984,0.050718261453718,0.00999011776002543,0.0225434386687608,0.0546406664653476,0.0103370470790493,0.0229372372533637,0.0228735334227549,0.0233001746993472
72,20,0.9,TRUE,0.0432145400434897,0.0212611456144999,0.0229857250252219,0.0258932930068009,0.016620107677278,0.0312510095597131,0.0307039933221354,0.0160988093427387,0.0324988810301277,0.0318273226318967,0.0332579398729785
