"current_seed","Nsamp","nullpi","poisthin","auc_ols","auc_biash_ols","auc_biash_voom","auc_ols_ash","auc_succotash","auc_cate_rr","auc_sva_ols","auc_ruvash","auc_cate_nc","auc_ruv2","auc_ruv4"
85,5,0.5,TRUE,0.74348,0.736472,0.816664,0.736576,0.796712,0.785024,0.781456,0.79608,0.800276,0.781476,0.777236
86,5,0.5,TRUE,0.675472,0.700624,0.771488,0.697312,0.806304,0.786992,0.761444,0.80424,0.782976,0.78148,0.775328
87,5,0.5,TRUE,0.752988,0.765608,0.772384,0.763472,0.78588,0.762148,0.7479,0.77788,0.759932,0.741208,0.7598
88,5,0.5,TRUE,0.684604,0.712744,0.81548,0.702904,0.80048,0.755552,0.771312,0.801864,0.770212,0.769576,0.756632
89,5,0.5,TRUE,0.600432,0.630408,0.77552,0.586688,0.714208,0.671192,0.640596,0.714568,0.698176,0.672144,0.675204
90,5,0.5,TRUE,0.73726,0.779024,0.806192,0.778184,0.8316,0.796096,0.79516,0.834728,0.799656,0.79736,0.798464
91,5,0.5,TRUE,0.683608,0.807688,0.798048,0.807456,0.795,0.758172,0.717008,0.8052,0.774556,0.773624,0.768024
92,5,0.5,TRUE,0.751072,0.779112,0.796904,0.77952,0.82204,0.788704,0.782096,0.822696,0.791372,0.785496,0.7896
93,5,0.5,TRUE,0.774548,0.769664,0.797176,0.769944,0.802456,0.797344,0.794232,0.79096,0.792008,0.798668,0.79858
94,5,0.5,TRUE,0.746464,0.767824,0.86744,0.768448,0.852448,0.809924,0.799144,0.848424,0.82866,0.777808,0.79152
95,5,0.5,TRUE,0.67636,0.7018,0.750168,0.690088,0.781032,0.741792,0.748568,0.77368,0.753976,0.758656,0.723224
96,5,0.5,TRUE,0.751256,0.78232,0.788272,0.782104,0.800888,0.775844,0.761256,0.785424,0.778532,0.741548,0.765916
97,5,0.5,TRUE,0.688,0.831448,0.847272,0.82936,0.849736,0.821912,0.810704,0.846816,0.81464,0.811064,0.814312
98,5,0.5,TRUE,0.555696,0.600952,0.785264,0.548952,0.729592,0.653272,0.571756,0.734112,0.699764,0.701804,0.657404
99,5,0.5,TRUE,0.748648,0.771928,0.837984,0.7624,0.81108,0.788696,0.800244,0.811304,0.802424,0.801948,0.78248
100,5,0.5,TRUE,0.723364,0.854368,0.875176,0.853088,0.861008,0.83562,0.835304,0.859608,0.8376,0.833912,0.839728
1,10,0.5,TRUE,0.660736,0.659776,0.874568,0.640824,0.850688,0.81728,0.734068,0.84428,0.858656,0.854436,0.842968
2,10,0.5,TRUE,0.73,0.865184,0.866944,0.863544,0.883512,0.854664,0.83532,0.884824,0.851056,0.843816,0.857112
3,10,0.5,TRUE,0.614096,0.624008,0.844848,0.607168,0.844576,0.824324,0.74784,0.842656,0.83492,0.82672,0.833868
4,10,0.5,TRUE,0.808384,0.832928,0.839184,0.832648,0.89056,0.868696,0.8651,0.888832,0.875096,0.86144,0.863596
